Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCX06,OUT049,700442.620957386
FDC37,OUT027,627576.5720703958
FDZ14,OUT018,646842.5565730536
DRG49,OUT049,763504.1988162339
NCG06,OUT045,774724.6451069498
DRC36,OUT045,694989.9715536686
FDV21,OUT019,642692.0177136986
FDB53,OUT046,669517.3032895525
DRP47,OUT019,765967.2677008798
FDA14,OUT013,663668.4353628446
DRC24,OUT035,675152.407254966
FDW21,OUT018,625886.1275907707
NCH29,OUT046,620051.5423076255
FDU58,OUT013,705857.5002316141
FDY27,OUT017,700137.4469345503
FDV56,OUT035,632924.4301469866
FDT59,OUT046,748684.8498284064
FDB23,OUT046,743773.4729160845
FDR49,OUT045,571858.3692174224
FDB03,OUT010,759281.8256827669
FDN39,OUT045,687277.4797289683
FDX02,OUT027,738629.1593535135
FDQ16,OUT027,627178.1806473817
FDU35,OUT018,624722.6513410476
NCT29,OUT013,641459.4402570047
FDZ27,OUT046,572429.5726915861
FDN57,OUT017,664075.6621186368
FDA03,OUT018,669185.4213728032
FDZ36,OUT045,706689.4687224817
NCU05,OUT013,601865.9571068374
FDT39,OUT018,674676.9817464752
FDK60,OUT017,622351.6099594748
FDZ25,OUT017,692016.0933675852
FDG12,OUT046,643972.4771907402
DRB01,OUT019,707121.6509706766
NCC43,OUT027,765185.0111429018
FDX13,OUT019,762280.6325739443
FDM22,OUT049,577744.0104053073
FDJ03,OUT027,570230.3617843168
FDU14,OUT018,769842.2947275849
FDB33,OUT010,678867.6982631228
FDP27,OUT046,710177.4387627398
FDO38,OUT010,599322.2780452255
FDE28,OUT027,747287.269700005
FDO27,OUT035,619896.3096639679
DRL23,OUT027,626508.59825327
FDS28,OUT046,580019.7579308504
FDX24,OUT013,612917.019136898
FDZ02,OUT035,620829.12020078
FDL46,OUT045,640063.7904710547
FDS60,OUT027,695775.9225498679
NCO06,OUT017,560300.8586879175
FDO16,OUT035,609497.9822310507
FDC60,OUT049,610966.8109017548
FDA48,OUT018,741358.9147664561
FDZ36,OUT027,703189.1002671688
FDK27,OUT045,643761.2271221158
FDW23,OUT018,566128.2470935659
FDM14,OUT018,634964.7066707946
FDM14,OUT013,628019.8818328162
FDW60,OUT018,700491.6586901257
FDE21,OUT013,635967.2506051448
NCM42,OUT035,633418.5571094054
FDY59,OUT010,616076.8930446802
DRI49,OUT049,605028.4563630789
FDT28,OUT019,668198.8866439667
FDQ22,OUT018,566755.1319066188
FDR60,OUT049,600407.8201874285
FDC50,OUT019,613553.6546331284
FDV24,OUT013,670210.2089623191
DRF48,OUT010,707356.2319801918
FDQ47,OUT046,561305.4875591282
DRN36,OUT049,620527.2448325383
NCY06,OUT035,651884.6009886693
FDE52,OUT035,614201.6094836824
NCB54,OUT045,649821.3630715804
NCF31,OUT035,675145.8626384444
FDJ08,OUT027,706419.7240060595
NCC07,OUT017,630882.982864334
NCD19,OUT027,574959.2507062637
FDL46,OUT049,641333.0702286403
FDM20,OUT045,765089.2049926275
NCI06,OUT010,699640.1833066529
DRM11,OUT035,778319.062575103
NCH07,OUT018,681658.3408791393
FDS23,OUT013,648651.4581814266
FDO49,OUT018,576030.6402523257
FDS35,OUT049,589574.37638351
DRK39,OUT045,606908.5026127558
DRI39,OUT049,582757.9181478126
FDV04,OUT017,681207.5917831537
NCN14,OUT035,704007.9683708699
FDH08,OUT013,746818.3618198545
FDS20,OUT046,702803.869988912
FDV40,OUT049,599277.621230982
FDZ48,OUT010,632027.9396767667
FDS24,OUT027,607640.9437020661
FDK44,OUT049,694932.1990044874
FDS48,OUT045,672515.1694524108
FDK26,OUT010,705976.1609857057
FDD23,OUT045,709433.4254113312
NCH54,OUT017,684477.9495251741
NCP14,OUT010,628220.5207960682
FDM60,OUT010,563364.076618064
FDV24,OUT017,674729.0218172274
FDH08,OUT018,749704.4033376547
FDS12,OUT027,646363.6640234666
FDR39,OUT027,697572.1884967443
FDP12,OUT027,558294.0638309799
DRF60,OUT027,751512.4911141502
FDC09,OUT035,626913.3835627064
FDF50,OUT018,720532.0401003164
FDG28,OUT035,763405.2561326982
NCE19,OUT017,582091.6508696234
NCM53,OUT010,629756.3304113597
NCN18,OUT049,633712.841369073
FDF32,OUT035,720058.9791100002
FDF11,OUT013,754889.101124869
DRI59,OUT049,744129.9111304244
NCG54,OUT035,691454.8129446966
FDM44,OUT046,623881.1938468122
FDT57,OUT018,756802.0044707558
FDV24,OUT046,672085.5098352935
FDI50,OUT019,742218.496925058
FDS09,OUT035,577182.9187286852
NCC31,OUT027,672404.5655721459
FDQ07,OUT019,733713.2498580109
FDC22,OUT017,713940.2812830348
FDZ56,OUT046,689506.6022596583
FDZ40,OUT019,574131.2548251504
FDS46,OUT027,637430.1972317005
DRD24,OUT045,662990.97028723
FDV45,OUT017,711192.5386863537
FDL26,OUT045,677639.8157875815
FDA56,OUT018,647483.4488651736
FDN27,OUT046,640012.8263669597
FDM20,OUT049,763266.2094692218
FDO16,OUT017,608544.8958518578
FDL03,OUT035,716629.6481782878
FDE58,OUT046,638910.1288723208
FDI02,OUT027,631486.3324971409
NCC55,OUT019,559585.545175202
FDR03,OUT018,727403.8000030569
FDB14,OUT017,617879.403064774
FDR45,OUT013,756277.7196062848
NCN07,OUT017,654035.0644658294
FDM51,OUT019,620862.4416422152
FDT52,OUT027,759703.8549463043
FDL26,OUT046,674954.0263147318
NCZ42,OUT046,756791.7751299117
DRI47,OUT019,662736.0435755018
FDW40,OUT013,659861.709414628
FDN34,OUT046,689398.3748524894
FDS01,OUT035,700042.7551419043
NCG55,OUT045,639387.3699664273
FDC11,OUT035,612060.0321401557
FDX35,OUT018,747415.7815135357
NCB06,OUT046,680827.634463909
FDR09,OUT019,773179.6897987273
FDC53,OUT017,622151.0483629453
FDY45,OUT013,770040.8022215217
FDA22,OUT010,688155.8297434967
FDE02,OUT035,619774.1564335994
FDW21,OUT045,624662.0474689164
FDV34,OUT046,597054.5228538931
FDS59,OUT049,631931.0452732554
NCW17,OUT017,651971.0315175331
NCK54,OUT046,639157.1220511283
FDG17,OUT019,758064.0800418253
FDG35,OUT017,695629.7209991842
FDD08,OUT010,561862.8127160888
NCO07,OUT017,732531.8912448317
FDJ10,OUT010,662830.9484410352
FDW36,OUT017,629018.6989927662
FDW21,OUT010,622969.0371642227
FDY19,OUT017,642441.5372298633
DRE03,OUT013,568827.4078729383
NCC55,OUT049,563371.5591679092
FDH52,OUT010,586760.8002180734
FDO09,OUT017,784233.6284168424
FDU43,OUT045,758475.4634359397
FDX09,OUT010,694431.0576106106
FDH40,OUT019,602359.6074038061
FDW58,OUT017,629306.2400175198
FDC47,OUT017,748041.9212988119
NCR41,OUT035,618822.2286326803
DRG49,OUT035,764208.6171676435
FDC52,OUT027,670156.0060326781
FDY13,OUT046,597965.5333168246
FDY35,OUT013,565947.2937391897
FDI35,OUT017,704088.1440705056
NCU18,OUT049,663119.2410961732
FDY33,OUT018,681735.1931892367
FDC15,OUT027,675222.2578747086
FDU01,OUT049,706629.6836845985
NCU42,OUT046,689762.330457182
NCV29,OUT018,700237.0168505227
NCY30,OUT017,705095.2084937308
FDQ46,OUT049,634900.3528749136
FDG58,OUT027,671657.8553053647
FDK33,OUT017,734471.725735187
NCD07,OUT045,638913.6586669456
NCX29,OUT027,662560.9904430421
NCT42,OUT013,666843.990106536
DRN59,OUT035,571986.8183182195
FDI44,OUT035,603989.8362900652
FDA45,OUT049,698619.7040274603
FDP31,OUT045,590558.4183643216
FDY01,OUT046,637230.8104008652
FDT09,OUT018,656895.7407646286
DRH03,OUT027,614615.4536898357
FDA36,OUT018,709030.8172695416
NCF31,OUT017,676705.3538296969
FDG14,OUT049,672738.3043483291
FDG28,OUT027,760283.660205506
FDU14,OUT049,768148.4967607311
FDY47,OUT019,648745.7471841258
FDI56,OUT049,613891.3131125212
DRD01,OUT013,578005.7596738485
FDM22,OUT046,578910.3380706123
FDH33,OUT013,564256.4782835081
DRZ24,OUT013,637937.8055933212
NCQ38,OUT046,627543.911082656
FDO16,OUT027,604211.3740331721
FDU07,OUT027,667235.6462816014
NCB07,OUT013,711326.2958077488
FDU48,OUT045,654751.7076734002
NCM43,OUT045,686678.2330744686
FDR31,OUT010,664871.1815501626
DRK49,OUT018,568249.1428228493
NCI30,OUT010,761666.9886539119
DRD60,OUT017,703467.2495426114
NCG19,OUT046,753246.9443047129
FDH12,OUT035,629181.1979962061
FDM32,OUT035,616170.5241038513
FDM27,OUT035,678511.1092852436
NCU53,OUT027,683216.592229168
NCQ18,OUT046,621680.7718168207
FDS10,OUT013,696478.7762423097
FDB33,OUT027,675150.39785727
FDI12,OUT013,606481.7762835899
NCW42,OUT013,737365.7323210894
NCC06,OUT018,652775.2261087943
FDW02,OUT017,650143.0231042281
NCD43,OUT017,629253.7258313096
FDM57,OUT018,608768.966296308
FDA58,OUT017,757399.7340574623
FDK56,OUT046,704882.3033973409
FDP52,OUT045,750498.4172339778
FDW20,OUT018,648265.3260645499
FDS52,OUT049,623521.693574313
NCT29,OUT018,644345.47917651
NCL54,OUT013,694090.2929249386
FDC05,OUT045,718738.2227593714
FDF34,OUT035,717891.3552835024
FDP03,OUT027,643284.3799971746
FDD32,OUT010,605630.7340999295
FDZ10,OUT045,650289.7666458788
FDZ40,OUT035,579992.444593398
FDD51,OUT018,570835.0621895816
NCY30,OUT019,695567.8993585067
FDP58,OUT017,739073.8977455251
FDV49,OUT017,783909.4086974682
FDY24,OUT019,572702.1058743281
NCO55,OUT017,632025.9774966949
FDR13,OUT017,641215.3271506204
FDS51,OUT017,588363.5434317851
FDP26,OUT045,628358.6252058564
NCB54,OUT027,647895.1158641331
FDF32,OUT017,718912.6138323769
FDN31,OUT018,711347.9827581041
DRM48,OUT017,563270.8971087877
FDN20,OUT049,689757.807331118
DRL01,OUT046,751177.0710391107
FDV56,OUT049,630093.9836244385
DRH13,OUT027,627112.6538688737
FDA03,OUT017,669078.7200596638
FDF47,OUT027,739376.9142441266
FDX32,OUT046,667430.7041841395
FDX57,OUT049,619692.7741948552
NCA30,OUT045,711227.2370249858
FDO49,OUT013,571115.2080599329
FDL04,OUT019,623639.6388990075
DRM48,OUT035,563644.1638180504
FDR16,OUT013,728693.8910287293
NCC19,OUT018,714796.667860839
NCE42,OUT045,754605.707727459
FDY24,OUT017,581614.6843602909
FDH19,OUT049,695967.7819021773
FDJ46,OUT013,691027.7885369391
FDN45,OUT010,742229.0645353124
FDY08,OUT035,662972.405735603
FDZ37,OUT035,611427.7075688966
NCT30,OUT045,572929.1594960362
DRY23,OUT018,569080.6542394474
NCZ30,OUT018,646211.3718833476
FDC44,OUT018,638052.3127368438
FDB45,OUT035,628679.1921083743
FDY04,OUT013,681123.2684942355
FDM27,OUT046,679457.5292417291
FDZ43,OUT017,761606.1243045336
FDT39,OUT019,667702.2771347846
NCC06,OUT019,644481.3290302795
FDL15,OUT027,671421.4821296326
FDL57,OUT017,777298.0622607524
FDU08,OUT046,621299.5821001153
FDK40,OUT017,783700.168197705
FDQ12,OUT010,746641.6567643166
FDS48,OUT017,674502.7167271187
FDP09,OUT045,732014.746268369
FDW21,OUT049,622259.2256143187
FDY25,OUT035,702675.7157747893
DRE13,OUT017,611136.0955420566
FDV43,OUT019,563292.4094094625
FDD22,OUT045,635151.6829010795
FDM46,OUT019,611615.1027862974
NCO30,OUT010,703900.4550218552
FDM25,OUT046,693854.371706024
NCN41,OUT049,645149.5086241445
FDU24,OUT045,617376.1663168644
FDZ50,OUT046,703457.715251045
FDP45,OUT013,766436.0132538199
NCM54,OUT045,648988.0247107577
FDW10,OUT019,691463.770070752
FDP20,OUT017,651964.4947982494
FDK32,OUT046,671854.7835817251
FDN52,OUT049,611272.7302841522
FDM58,OUT045,634418.4723456956
FDZ46,OUT027,630115.544028605
NCA18,OUT018,641767.8137046569
FDD35,OUT046,643655.6680316475
NCK31,OUT035,575473.5984797477
FDI40,OUT027,620178.8246776244
FDT50,OUT019,616494.4742391843
NCT06,OUT046,685076.0833116539
FDT31,OUT035,709147.819230227
FDT45,OUT049,577742.3785695682
FDT13,OUT045,707943.6917942474
FDO50,OUT045,615020.2275851996
NCU18,OUT010,661316.7242083971
NCR54,OUT049,714963.1793738111
NCO18,OUT018,700801.3031422052
FDU09,OUT045,581594.4565562923
FDT13,OUT018,709747.59777897
FDE09,OUT046,634379.3332432951
NCK53,OUT019,619715.1466520876
FDG45,OUT049,732627.8339688557
DRH15,OUT035,571192.1720587813
FDO21,OUT019,738543.8641759087
FDD14,OUT027,701057.990132024
FDC09,OUT046,625152.8956784812
FDH45,OUT027,564853.7710924143
FDV32,OUT046,588802.9751014395
FDG12,OUT035,642833.8342547205
FDS32,OUT013,658866.0749604143
NCL55,OUT018,771307.7735515541
DRE01,OUT035,763026.8860175675
DRE15,OUT049,600842.6019447227
NCL42,OUT045,765759.7292027154
FDP31,OUT013,585224.2290597255
FDN33,OUT018,619021.1683805827
FDZ59,OUT046,685274.5630583356
FDE45,OUT010,697551.0403781056
FDJ07,OUT013,637923.5351944463
FDQ45,OUT018,706849.9988568769
FDM33,OUT027,734829.0386114601
FDO15,OUT010,598369.9829064179
FDM46,OUT013,612891.232099526
FDR03,OUT045,725889.8068677944
FDY49,OUT018,689343.1871918757
FDQ60,OUT045,642022.9950992463
FDW10,OUT049,696591.845138085
FDO51,OUT049,569646.8509697054
FDJ40,OUT018,633674.1951492495
FDS20,OUT018,704684.3473723616
FDU45,OUT013,632090.6823407012
FDV02,OUT035,691297.2024921621
FDN09,OUT046,760013.3126111298
NCM55,OUT027,703433.6910649812
FDN23,OUT018,668389.8504216092
FDY31,OUT010,665570.1646457199
FDW03,OUT010,628273.9092432662
FDD14,OUT046,703075.2493549613
FDV23,OUT017,649921.4417606725
DRI03,OUT045,696963.8296184788
FDN13,OUT035,623587.143166343
FDF45,OUT027,580810.4825127582
FDU46,OUT035,612203.5744691202
FDB57,OUT049,741298.4011562293
FDV12,OUT049,622725.7303308814
FDQ58,OUT013,669544.33247615
NCA18,OUT017,640501.4598899616
FDH52,OUT049,585760.4866289289
FDM24,OUT018,673714.8018685095
NCP43,OUT027,698093.514569245
NCO18,OUT019,692544.1318218773
FDM32,OUT017,616473.7273636294
NCL07,OUT017,565098.3583575357
FDK03,OUT013,768143.5390356167
FDP59,OUT017,627182.4546338879
FDQ24,OUT049,768678.7055940415
FDQ16,OUT018,634371.8511370032
FDU44,OUT013,678706.2079248502
FDH28,OUT010,562564.3985528378
FDV28,OUT019,556482.3501768603
FDM22,OUT045,579180.4551408308
FDR56,OUT046,715357.1520324214
FDV39,OUT049,716700.8605745943
FDU37,OUT019,599831.8304025051
FDQ11,OUT010,773189.5280533633
FDX02,OUT045,743090.4518081273
NCS42,OUT018,618073.3575308109
FDY57,OUT027,614523.3294659294
FDB21,OUT049,760267.0359242123
FDE28,OUT017,750613.2167551207
FDQ55,OUT017,637914.3488582447
FDA48,OUT049,741597.5236056824
FDZ19,OUT045,695697.5965138809
NCC43,OUT045,771087.4357068499
NCV18,OUT046,605107.8866713817
NCA42,OUT018,682302.2611847713
FDY45,OUT046,773559.3934788745
NCC30,OUT045,699895.3464986642
FDM57,OUT013,605979.5657227456
FDL09,OUT010,686356.4850334616
FDB09,OUT027,643625.1529032685
FDT44,OUT035,642459.8203322634
NCT06,OUT027,681765.6458254192
FDX26,OUT049,703550.167390337
FDK32,OUT013,671332.4098922149
DRA12,OUT046,664000.3476485267
FDO46,OUT010,706857.0588474438
FDE52,OUT013,607183.5007856191
NCH42,OUT045,749634.5254038412
FDV08,OUT035,568336.5204871179
FDB47,OUT018,732162.9007325049
FDC28,OUT010,632091.9445031148
FDD22,OUT046,635848.2132772825
FDS07,OUT027,634393.0691032371
DRI13,OUT045,736744.4913718925
FDG32,OUT018,743948.1909221873
FDU14,OUT017,770219.1314049715
FDD28,OUT019,578828.1659967228
NCP41,OUT017,634262.2508405215
FDS08,OUT049,695685.1509184784
FDX47,OUT045,679424.40453577
FDC53,OUT019,619076.7154302865
FDQ19,OUT035,760760.9749045485
FDL14,OUT045,676884.8543899227
FDM33,OUT019,735764.8556347382
FDA51,OUT045,636603.3578332025
FDZ27,OUT018,575566.3417752787
FDT04,OUT046,565730.3889141231
DRC13,OUT049,647088.188687247
FDR16,OUT027,730525.7727498439
FDQ03,OUT027,751311.6009170356
FDE38,OUT035,689865.973762804
DRH23,OUT027,578156.691100111
FDT11,OUT019,703466.9529121788
FDD09,OUT035,701297.5057346758
FDR40,OUT045,606375.4474184954
FDX07,OUT017,705708.2479835812
FDR07,OUT035,621308.4779661283
FDA51,OUT017,638880.3831283702
FDT59,OUT019,744536.0209975116
FDF20,OUT017,716952.5267267409
FDR13,OUT045,638165.1947177843
FDY26,OUT049,729525.0515359688
FDW04,OUT017,653947.0564791283
FDK52,OUT017,747650.0861578368
FDN60,OUT049,678316.677262729
FDM09,OUT019,687168.4007735639
FDP46,OUT049,611365.0449938842
FDB50,OUT019,598564.035308097
NCQ29,OUT049,776583.7228485015
FDP16,OUT027,760141.0430807777
FDX33,OUT018,684332.4279707947
FDP07,OUT010,714024.0509471295
FDN22,OUT046,768567.7352352303
FDF39,OUT049,779319.6949373507
FDS21,OUT017,587056.3177617695
NCM42,OUT013,627076.9122479749
FDK50,OUT019,680023.2077018828
DRF13,OUT027,665010.411377117
FDH35,OUT018,686939.1430553063
FDP60,OUT018,624654.6360750732
DRJ49,OUT027,648795.5579262252
NCT42,OUT019,665360.5240361667
FDE38,OUT049,688581.7297079695
FDI04,OUT049,718423.039941393
NCH54,OUT045,679688.340435138
FDT56,OUT049,583384.020349639
DRD15,OUT018,753090.2474440674
FDV58,OUT013,710680.2163223128
FDP21,OUT049,707328.5330668511
FDH05,OUT013,748395.0331801925
FDR10,OUT027,679142.8318900228
NCP06,OUT045,671443.8548456434
FDF33,OUT049,629409.6860994252
DRK37,OUT013,705522.4024485984
DRH49,OUT045,608469.3121269114
FDT58,OUT013,685324.2125728718
FDD41,OUT018,629433.1678716895
FDP40,OUT018,635277.6727440712
FDM51,OUT027,621279.0224838902
FDO45,OUT010,608731.4350109957
FDW33,OUT010,628220.8508908537
FDY24,OUT045,579531.7055940098
FDB10,OUT010,754840.5938269551
FDM40,OUT035,664618.8806365493
NCI06,OUT017,703223.3592070936
FDW12,OUT019,660755.0981335224
FDX48,OUT027,672692.1081431427
NCW05,OUT027,626498.6172670309
FDX27,OUT017,620285.6405341949
DRM37,OUT045,718697.5038192987
FDA38,OUT045,760606.7293922519
FDR36,OUT046,564665.2072943713
FDZ45,OUT046,718000.8047426902
FDG05,OUT017,681595.3749405802
FDK28,OUT013,773370.8075313577
FDV47,OUT045,609944.0595990217
FDN21,OUT045,682193.2668631177
FDP20,OUT027,645942.0773522352
FDI35,OUT045,702777.4906215896
DRY23,OUT013,565324.8785906218
FDA56,OUT017,647086.8351333654
FDB09,OUT013,642459.7783862593
NCO26,OUT027,636408.314424772
FDQ49,OUT018,679781.2106583297
FDI52,OUT027,641302.0351469078
FDZ44,OUT027,636547.812342224
FDZ09,OUT018,687353.8535586896
FDY03,OUT049,635741.1829902311
NCG42,OUT017,653920.0911075817
DRI13,OUT027,733726.1023625572
FDQ32,OUT013,644808.9058964439
FDW16,OUT035,615530.8320971585
FDU27,OUT046,571296.2755239112
FDR28,OUT010,682581.8952264896
FDQ49,OUT010,678024.1516154277
FDS37,OUT046,638195.1291623553
FDW26,OUT018,741603.1007464288
FDX12,OUT018,761515.6777145141
NCP06,OUT013,669008.7923509475
FDW45,OUT010,665545.9594674114
NCN30,OUT049,617775.4879482138
FDN24,OUT049,577760.8947077201
NCL41,OUT027,554724.8775791731
FDR02,OUT019,627802.703481577
FDD09,OUT010,700047.1233525021
FDS33,OUT010,608958.0217180906
FDU22,OUT045,642721.4698767622
FDI53,OUT013,680538.4432772223
DRH01,OUT049,696265.7376520167
FDX32,OUT013,661593.2578831629
NCP30,OUT018,566895.8503436272
FDB60,OUT045,716490.3955121418
FDB14,OUT049,616678.5108169339
NCP02,OUT035,583799.4219766086
FDJ10,OUT017,664192.0773999275
FDG34,OUT046,632725.8425342614
NCB18,OUT017,613251.2380027352
FDM16,OUT049,598255.5345300286
FDW25,OUT018,609924.0933904267
FDB35,OUT010,613480.8994115005
DRN11,OUT013,661908.9161115116
FDF41,OUT019,761912.1391432706
FDH16,OUT045,612360.2345744391
NCQ50,OUT018,733845.3247188051
DRH23,OUT018,583759.243737671
DRJ37,OUT013,670238.01676331
DRJ24,OUT027,701584.901931976
FDY16,OUT035,704857.8861937888
FDQ27,OUT045,628877.1606181572
FDZ33,OUT045,670763.679220112
FDF29,OUT045,654023.7533240733
FDA08,OUT049,684150.8146284106
FDG31,OUT046,588885.4216329821
FDE34,OUT019,699220.9565825622
NCR30,OUT027,594294.0607441057
FDV33,OUT035,777148.296559482
DRZ24,OUT018,644786.1754147904
NCL54,OUT035,695310.1396824818
FDR12,OUT049,693543.6339450086
NCC54,OUT046,759612.3147223532
DRN59,OUT013,567771.1848512599
FDX50,OUT019,628607.8109704017
FDV31,OUT027,695453.7098560362
NCA29,OUT027,690005.4914524544
FDW60,OUT049,697444.5831863258
FDX08,OUT017,704732.8116304255
DRD49,OUT013,751957.1129022061
FDD33,OUT046,749375.465678416
FDW35,OUT013,564271.5675001229
FDJ36,OUT017,627905.5678066855
FDV51,OUT035,688402.1487813357
FDW36,OUT046,628791.1263513803
FDH35,OUT046,685541.8544297024
NCS30,OUT027,649566.3200656197
FDN49,OUT017,565366.8644610913
FDL08,OUT018,766304.9628728594
FDI09,OUT013,755397.9709604561
FDP19,OUT018,653665.9236492054
FDU21,OUT010,557207.8410067621
NCP41,OUT045,631115.480200094
FDY10,OUT013,632217.2223303792
FDP12,OUT018,563656.4030225577
NCN26,OUT049,638647.2669140723
FDK44,OUT013,692000.8296555423
FDC28,OUT049,631961.7010323158
FDJ41,OUT027,777419.2747143551
NCT29,OUT035,647027.9833166723
NCH42,OUT019,742730.1687649412
FDU60,OUT018,689978.7743949895
FDS02,OUT045,713821.7851178013
FDC51,OUT046,644830.7299016684
FDU03,OUT013,699873.6240062162
FDX39,OUT045,731760.5080536962
NCY05,OUT010,560674.8741852146
NCL06,OUT027,774223.5751602713
FDD32,OUT035,604948.2303339832
NCN41,OUT045,645716.2140714003
NCX53,OUT049,663133.7586710972
FDU57,OUT019,666866.4890766927
FDQ23,OUT046,626478.338355417
FDQ52,OUT045,767744.6628311025
FDC14,OUT045,565925.8466759024
FDY09,OUT035,698483.2068671363
FDQ28,OUT045,678324.0596569208
FDV25,OUT046,739582.3624917269
FDJ07,OUT035,640013.1216837785
DRB25,OUT049,628982.1893294291
FDK52,OUT019,739841.31564601
FDY52,OUT027,584041.8222806315
FDB28,OUT046,717116.2011172097
FDT36,OUT035,562530.6335344854
FDV25,OUT017,743192.2550973375
NCN07,OUT027,649061.8298446886
FDC57,OUT017,715156.5972703777
FDQ03,OUT018,757297.1280040451
FDU23,OUT017,689931.9607773195
NCX41,OUT035,733050.6989232425
NCD06,OUT035,572769.8394400809
FDW08,OUT045,630270.0055015496
NCU29,OUT017,668675.7063970858
NCE06,OUT013,679068.6599714962
FDV52,OUT010,639144.3180820374
FDB02,OUT017,699188.1967879084
NCR18,OUT045,568550.0665152039
FDK16,OUT049,617728.4938995753
NCQ29,OUT010,775264.0253452234
FDZ01,OUT019,622063.294942643
FDW27,OUT035,679482.9859360658
FDD17,OUT018,758482.5204979102
FDW39,OUT013,694206.5592344252
DRH59,OUT045,597338.8354225704
FDS52,OUT013,621749.9733744918
FDU40,OUT027,711694.2698357359
NCF54,OUT013,691171.8042769597
FDH46,OUT045,626575.5468520437
NCP14,OUT049,626641.133739601
FDH50,OUT049,705460.2286486945
DRF15,OUT010,673528.2167563359
FDV27,OUT027,607540.849313347
NCJ06,OUT049,642512.0680282222
FDN02,OUT018,727069.1858315975
FDQ51,OUT049,570867.5757745217
FDQ07,OUT017,743680.389763239
FDS45,OUT049,628181.0601874397
NCJ06,OUT045,644141.7881881279
FDD36,OUT035,640918.737848146
FDY25,OUT045,703601.018249356
FDU52,OUT046,675688.6534013927
DRK47,OUT017,747918.0240129336
NCL30,OUT017,652484.2195100801
FDN22,OUT035,771004.6872078078
NCF30,OUT027,644995.9485232189
FDK03,OUT035,775258.2851049673
FDT45,OUT017,581649.1283229105
NCC54,OUT027,754569.0610898178
FDP08,OUT018,717254.8836660329
FDU44,OUT046,683673.9153837921
DRG39,OUT035,578632.5145135656
FDU32,OUT049,644343.8939608994
FDY27,OUT049,699032.8063179993
NCP54,OUT013,642330.1834126096
NCZ41,OUT049,648596.61670205
DRL49,OUT013,662075.94122833
FDI05,OUT018,602459.2011046021
FDY56,OUT045,745991.3735272264
DRC13,OUT013,644253.4545993484
NCV29,OUT017,701966.4321026369
FDR24,OUT049,612421.9695805705
FDZ34,OUT018,713564.4821993265
FDP37,OUT035,649868.2551959667
FDX08,OUT027,697865.5767272311
FDS57,OUT045,663789.5372293078
NCG18,OUT049,625413.016890184
FDK25,OUT018,691835.9742804965
FDH53,OUT049,604626.9515384876
DRI59,OUT018,744084.579792294
FDA52,OUT046,697137.527066163
FDT20,OUT010,562290.297939413
FDE36,OUT019,679157.1109373623
